"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nivell_academic","Nombre"
2021,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones","Estudis primaris / certificat d'escolaritat / EGB",474
2021,7,"Horta-Guinardó",42,"la Clota","Dones","Estudis primaris / certificat d'escolaritat / EGB",39
2021,7,"Horta-Guinardó",43,"Horta","Dones","Estudis primaris / certificat d'escolaritat / EGB",2594
2021,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones","Estudis primaris / certificat d'escolaritat / EGB",2474
2021,8,"Nou Barris",45,"Porta","Dones","Estudis primaris / certificat d'escolaritat / EGB",3027
2021,8,"Nou Barris",46,"el Turó de la Peira","Dones","Estudis primaris / certificat d'escolaritat / EGB",1816
2021,8,"Nou Barris",47,"Can Peguera","Dones","Estudis primaris / certificat d'escolaritat / EGB",321
2021,8,"Nou Barris",48,"la Guineueta","Dones","Estudis primaris / certificat d'escolaritat / EGB",1699
2021,8,"Nou Barris",49,"Canyelles","Dones","Estudis primaris / certificat d'escolaritat / EGB",929
2021,8,"Nou Barris",50,"les Roquetes","Dones","Estudis primaris / certificat d'escolaritat / EGB",2148
2021,8,"Nou Barris",51,"Verdun","Dones","Estudis primaris / certificat d'escolaritat / EGB",1618
2021,8,"Nou Barris",52,"la Prosperitat","Dones","Estudis primaris / certificat d'escolaritat / EGB",3343
2021,8,"Nou Barris",53,"la Trinitat Nova","Dones","Estudis primaris / certificat d'escolaritat / EGB",1003
2021,8,"Nou Barris",54,"Torre Baró","Dones","Estudis primaris / certificat d'escolaritat / EGB",388
2021,8,"Nou Barris",55,"Ciutat Meridiana","Dones","Estudis primaris / certificat d'escolaritat / EGB",1633
2021,8,"Nou Barris",56,"Vallbona","Dones","Estudis primaris / certificat d'escolaritat / EGB",198
2021,9,"Sant Andreu",57,"la Trinitat Vella","Dones","Estudis primaris / certificat d'escolaritat / EGB",1345
2021,9,"Sant Andreu",58,"Baró de Viver","Dones","Estudis primaris / certificat d'escolaritat / EGB",382
2021,9,"Sant Andreu",59,"el Bon Pastor","Dones","Estudis primaris / certificat d'escolaritat / EGB",1494
2021,9,"Sant Andreu",60,"Sant Andreu","Dones","Estudis primaris / certificat d'escolaritat / EGB",4856
2021,9,"Sant Andreu",61,"la Sagrera","Dones","Estudis primaris / certificat d'escolaritat / EGB",2596
2021,9,"Sant Andreu",62,"el Congrés i els Indians","Dones","Estudis primaris / certificat d'escolaritat / EGB",1119
2021,9,"Sant Andreu",63,"Navas","Dones","Estudis primaris / certificat d'escolaritat / EGB",1866
2021,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones","Estudis primaris / certificat d'escolaritat / EGB",2906
2021,10,"Sant Martí",65,"el Clot","Dones","Estudis primaris / certificat d'escolaritat / EGB",2123
2021,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones","Estudis primaris / certificat d'escolaritat / EGB",1086
2021,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones","Estudis primaris / certificat d'escolaritat / EGB",240
2021,10,"Sant Martí",68,"el Poblenou","Dones","Estudis primaris / certificat d'escolaritat / EGB",2209
